Mumbai,Delhi,Frankfurt,Hong Kong,London,Montreal,Moscow,New York,Paris,Rome,Singapore,Sydney,Tehran,Tokyo
BOM,DEL,FRA,HKG,LHR,YUL,SVO,JFK,CDG,FCO,SIN,SYD,IKA,NRT
Amsterdam,AMS,4258,5737,228,8551,230,3422,1330,3639,261,809,6524,13306,2527,9522
Aukland,AKL,7662,9406,6883,6883,14202,10968,14622,10730,14452,14061,5230,1343,9338,8275
Bangkok,BKK,1871,1815,5575,1065,8038,11618,4396,11401,7810,7011,897,5774,3394,2849
Brussels,BRU,4263,5679,190,8493,211,3452,1383,3662,170,734,6551,13249,2525,9631
Cairo,CAI,2699,2738,1815,6099,2185,6514,1796,6730,1995,1329,5127,10855,1216,8245
Dubai,DXB,1199,1359,3008,3695,3412,6793,2303,6831,3258,2696,3630,7580,759,4828
Frankfurt,FRA,4082,5463,NA,8277,400,3640,1253,3851,289,598,6379,13033,2342,9776
Geneva,GVA,4173,5391,287,8205,457,3671,1493,3859,250,439,6519,12391,2434,10029
Hong Kong,HKG,2673,2345,8277,NA,8252,10345,6063,10279,8493,7694,1607,4586,3843,1788
Istanbul,IST,2992,4202,1185,7016,1554,5757,1093,6010,1394,852,5379,11772,1270,9162
Karachi,KHI,544,655,3539,3596,5276,8888,2608,9104,3810,3307,2943,8269,1199,5742
Kuwait,KWI,1714,1755,2499,4092,2903,6264,1918,6335,2739,2168,2942,8007,1200,5168
Lagos,LOS,5140,6015,3018,8930,3098,6734,4806,6508,2922,2497,7428,11898,3659,11076
London,LHR,4477,5907,400,8252,NA,3251,1557,3456,209,892,6754,13477,2738,9536
Manila,MNL,3189,3656,6394,702,9564,2332,6906,10368,9336,8536,1481,3892,4503,1862
Mexico City,MEX,10206,12054,7124,10726,6649,2306,8058,2086,6856,7639,12638,9457,8487,8588
Montreal,YUL,7942,3821,3640,10345,3251,NA,5259,330,3433,4100,9193,12045,6223,8199
Moscow,SVO,3136,2708,1253,6063,1557,5259,NA,5620,1533,1476,5242,11044,1526,4667
Nairobi,NBO,2817,3364,3925,5347,4247,7271,3955,7349,4027,3353,4628,7536,2718,7019
New York,JFK,7718,9550,3851,10279,3456,330,5620,NA,3628,4280,9525,12052,6113,8133
Paris,CDG,4349,5679,269,8493,209,3433,1533,3628,NA,688,6667,13249,2610,9771
Prague,PRG,9334,3549,253,5460,649,3852,1036,4066,542,581,6126,9997,2093,8531
Rio de Janeir,GIG,9547,11263,9775,13429,6914,6175,8606,4816,5697,5707,9775,12741,7828,13512
Rome,FCO,3840,3679,6238,7694,892,4100,1476,4280,688,NA,6238,12450,2121,9840
Singapore,SIN,2432,2578,6379,1605,6754,9193,5252,9525,6667,6238,NA,3912,4110,3294
Stockholm,ARN,4842,6057,730,8871,908,4725,760,3917,963,1519,5992,13627,2214,9726
Sydney,SYD,6308,7795,13033,4586,13477,12045,11044,12052,13249,12450,3916,NA,8021,6904
Tehran,IKA,1743,1582,2342,4712,2738,7465,11537,7681,2610,2121,4110,9693,NA,6858
Tokyo,NRT,4184,4959,9776,1788,9536,8199,4667,8133,9771,9840,3294,6904,4770,NA
